loan_id,origination_month,original_balance,original_term_months,original_interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,property_type,occupancy_type,servicer_name,vintage
LN100406,2019-04-01,256100.0,360,4.33,660-699,71-80,31-36,FL,Refinance,Single Family,Primary,Highland Capital Servicing,2019
LN100407,2019-06-01,225100.0,360,4.267,660-699,71-80,21-30,TX,Purchase,Single Family,Investment,Meridian Loan Services,2019
LN100408,2021-09-01,139500.0,360,4.706,660-699,61-70,37-43,GA,Purchase,Condo,Investment,Sunrise Servicing,2021
LN100409,2022-03-01,291000.0,360,4.188,740-779,81-90,44-50,WA,Purchase,Single Family,Primary,Sunrise Servicing,2022
LN100410,2019-11-01,212400.0,360,3.765,780+,71-80,21-30,FL,Purchase,Single Family,Primary,Highland Capital Servicing,2019
LN100411,2019-11-01,134600.0,360,3.935,700-739,91-95,31-36,FL,Refinance,Manufactured,Investment,Apex Mortgage Co,2019
LN100412,2019-09-01,299100.0,360,3.526,740-779,81-90,37-43,MI,Purchase,Condo,Second Home,Cornerstone Servicing,2019
LN100413,2021-12-01,190700.0,360,3.547,780+,71-80,21-30,WA,Refinance,Single Family,Primary,Cornerstone Servicing,2021
LN100414,2019-01-01,255900.0,180,3.532,780+,81-90,>50,WA,Refinance,Condo,Primary,Sunrise Servicing,2019
LN100415,2021-12-01,218300.0,360,4.274,700-739,71-80,31-36,FL,Purchase,Single Family,Primary,Highland Capital Servicing,2021
LN100416,2021-06-01,344900.0,360,3.305,780+,91-95,21-30,CA,Purchase,Single Family,Second Home,Sunrise Servicing,2021
LN100417,2021-05-01,255000.0,360,3.558,780+,61-70,21-30,NY,Refinance,Single Family,Primary,Sunrise Servicing,2021
LN100418,2022-07-01,155200.0,180,4.638,740-779,>95,>50,FL,Refinance,Single Family,Primary,Highland Capital Servicing,2022
LN100419,2021-09-01,267000.0,360,4.314,700-739,81-90,21-30,WA,Refinance,Single Family,Primary,Apex Mortgage Co,2021
LN100420,2022-10-01,270900.0,180,5.452,620-659,91-95,37-43,CA,Purchase,Single Family,Primary,Cornerstone Servicing,2022
LN100421,2022-12-01,290700.0,360,5.832,<620,71-80,21-30,GA,Cash-Out Refinance,Condo,Primary,Sunrise Servicing,2022
LN100422,2023-10-01,368100.0,360,5.494,700-739,91-95,21-30,WA,Purchase,Single Family,Primary,Apex Mortgage Co,2023
LN100423,2023-02-01,175000.0,360,4.883,700-739,71-80,44-50,AZ,Refinance,Single Family,Investment,Meridian Loan Services,2023
LN100424,2021-09-01,311900.0,360,3.918,700-739,81-90,21-30,GA,Purchase,Condo,Primary,Cornerstone Servicing,2021
LN100425,2021-07-01,106300.0,360,3.789,700-739,61-70,<=20,AZ,Refinance,Manufactured,Primary,Highland Capital Servicing,2021
LN100426,2020-03-01,218800.0,180,4.015,700-739,71-80,31-36,CA,Purchase,Single Family,Investment,Highland Capital Servicing,2020
LN100427,2022-02-01,204100.0,360,3.747,740-779,71-80,44-50,FL,Refinance,Multi-Family,Primary,Meridian Loan Services,2022
LN100428,2019-09-01,443100.0,360,4.438,620-659,71-80,31-36,CA,Purchase,Condo,Primary,Cornerstone Servicing,2019
LN100429,2023-10-01,215300.0,360,5.529,660-699,71-80,21-30,AZ,Refinance,Single Family,Second Home,Cornerstone Servicing,2023
LN100430,2023-05-01,303600.0,360,5.351,740-779,91-95,>50,WA,Purchase,Single Family,Primary,Highland Capital Servicing,2023
LN100431,2019-08-01,104500.0,180,3.199,780+,61-70,37-43,CA,Refinance,Single Family,Investment,Apex Mortgage Co,2019
LN100432,2023-01-01,197100.0,360,4.388,780+,81-90,44-50,CA,Purchase,Single Family,Second Home,Cornerstone Servicing,2023
LN100433,2019-08-01,157800.0,360,2.867,780+,<=60,37-43,FL,Purchase,Single Family,Primary,Highland Capital Servicing,2019
LN100434,2022-09-01,703600.0,360,4.412,780+,81-90,37-43,TX,Refinance,Single Family,Primary,Sunrise Servicing,2022
LN100435,2019-06-01,171100.0,360,4.376,660-699,81-90,31-36,MI,Purchase,Condo,Primary,Cornerstone Servicing,2019
LN100436,2021-07-01,238700.0,360,3.932,700-739,71-80,31-36,TX,Purchase,Single Family,Primary,Sunrise Servicing,2021
LN100437,2022-05-01,244500.0,360,4.711,660-699,81-90,37-43,PA,Cash-Out Refinance,Single Family,Primary,Highland Capital Servicing,2022
LN100438,2022-10-01,113000.0,180,5.107,700-739,91-95,37-43,IL,Cash-Out Refinance,Multi-Family,Primary,Meridian Loan Services,2022
LN100439,2021-02-01,182300.0,180,3.052,780+,81-90,>50,FL,Cash-Out Refinance,Manufactured,Investment,Cornerstone Servicing,2021
LN100440,2023-10-01,277100.0,360,5.624,660-699,71-80,37-43,CA,Purchase,Condo,Primary,Highland Capital Servicing,2023
LN100441,2022-12-01,240000.0,360,4.804,700-739,71-80,21-30,AZ,Purchase,Single Family,Second Home,Cornerstone Servicing,2022
LN100442,2020-01-01,82000.0,360,4.388,660-699,81-90,31-36,OH,Refinance,Single Family,Primary,Highland Capital Servicing,2020
LN100443,2022-06-01,178900.0,360,5.501,620-659,61-70,37-43,NY,Purchase,Single Family,Primary,Apex Mortgage Co,2022
LN100444,2022-10-01,365600.0,360,5.386,620-659,81-90,31-36,FL,Refinance,Single Family,Primary,Cornerstone Servicing,2022
LN100445,2020-09-01,301000.0,360,5.222,<620,71-80,44-50,WA,Purchase,Single Family,Primary,Meridian Loan Services,2020
LN100446,2022-10-01,399600.0,180,4.616,780+,81-90,37-43,MI,Cash-Out Refinance,Multi-Family,Primary,Apex Mortgage Co,2022
LN100447,2023-08-01,148200.0,180,5.329,700-739,<=60,<=20,PA,Refinance,Single Family,Primary,Meridian Loan Services,2023
LN100448,2023-03-01,411000.0,360,4.408,740-779,<=60,37-43,OH,Purchase,Single Family,Second Home,Sunrise Servicing,2023
LN100449,2022-12-01,226400.0,360,4.511,740-779,>95,37-43,WA,Purchase,Single Family,Primary,Cornerstone Servicing,2022
LN100450,2022-04-01,472800.0,360,5.224,620-659,91-95,44-50,FL,Purchase,Single Family,Primary,Apex Mortgage Co,2022
LN100451,2020-05-01,231300.0,360,5.201,620-659,91-95,31-36,NC,Purchase,Single Family,Second Home,Sunrise Servicing,2020
LN100452,2023-02-01,91900.0,360,4.991,740-779,>95,37-43,NY,Refinance,Condo,Primary,Cornerstone Servicing,2023
LN100453,2020-11-01,338500.0,360,4.655,660-699,71-80,31-36,OH,Purchase,Single Family,Primary,Cornerstone Servicing,2020
LN100454,2021-09-01,189200.0,360,3.885,780+,61-70,31-36,AZ,Purchase,Condo,Primary,Highland Capital Servicing,2021
LN100455,2020-08-01,195000.0,180,4.79,620-659,61-70,<=20,AZ,Purchase,Single Family,Primary,Meridian Loan Services,2020
LN100456,2020-08-01,120100.0,360,3.582,740-779,71-80,44-50,IL,Refinance,Single Family,Primary,Cornerstone Servicing,2020
LN100457,2019-10-01,479300.0,360,3.646,740-779,61-70,44-50,OH,Purchase,Manufactured,Primary,Highland Capital Servicing,2019
LN100458,2023-12-01,182700.0,360,6.474,660-699,91-95,31-36,WA,Purchase,Single Family,Primary,Meridian Loan Services,2023
LN100459,2019-10-01,469200.0,180,4.107,660-699,<=60,31-36,AZ,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2019
LN100460,2019-06-01,190200.0,360,3.584,780+,61-70,<=20,PA,Purchase,Single Family,Primary,Cornerstone Servicing,2019
LN100461,2023-11-01,152100.0,360,5.787,660-699,61-70,37-43,CA,Purchase,Single Family,Investment,Cornerstone Servicing,2023
LN100462,2021-11-01,418200.0,360,4.049,700-739,61-70,31-36,FL,Cash-Out Refinance,Single Family,Primary,Highland Capital Servicing,2021
LN100463,2021-04-01,223500.0,360,3.955,700-739,61-70,37-43,WA,Purchase,Single Family,Primary,Sunrise Servicing,2021
LN100464,2022-10-01,224400.0,360,5.186,660-699,81-90,<=20,PA,Cash-Out Refinance,Single Family,Investment,Meridian Loan Services,2022
LN100465,2020-12-01,129700.0,360,3.877,740-779,71-80,37-43,NC,Refinance,Single Family,Primary,Meridian Loan Services,2020
LN100466,2019-08-01,188000.0,360,3.437,740-779,81-90,21-30,GA,Refinance,Single Family,Primary,Apex Mortgage Co,2019
LN100467,2022-10-01,280100.0,360,5.145,660-699,91-95,37-43,NY,Purchase,Condo,Primary,Cornerstone Servicing,2022
LN100468,2019-11-01,128700.0,360,3.544,740-779,81-90,37-43,NY,Purchase,Condo,Investment,Cornerstone Servicing,2019
LN100469,2021-11-01,181200.0,360,4.361,660-699,81-90,21-30,PA,Purchase,Single Family,Primary,Meridian Loan Services,2021
LN100470,2023-11-01,191100.0,360,6.321,<620,71-80,31-36,FL,Purchase,Single Family,Primary,Sunrise Servicing,2023
LN100471,2023-11-01,238000.0,360,5.703,700-739,61-70,44-50,GA,Purchase,Single Family,Investment,Meridian Loan Services,2023
LN100472,2020-11-01,449500.0,360,3.713,780+,71-80,37-43,NC,Refinance,Single Family,Primary,Meridian Loan Services,2020
LN100473,2023-01-01,201800.0,180,6.094,<620,>95,<=20,MI,Refinance,Single Family,Primary,Cornerstone Servicing,2023
LN100474,2022-03-01,169300.0,360,4.33,660-699,81-90,31-36,FL,Purchase,Condo,Primary,Sunrise Servicing,2022
LN100475,2021-06-01,794800.0,180,3.971,700-739,61-70,21-30,NC,Refinance,Single Family,Primary,Cornerstone Servicing,2021
LN100476,2019-09-01,190100.0,360,3.42,740-779,71-80,37-43,CA,Cash-Out Refinance,Single Family,Second Home,Highland Capital Servicing,2019
LN100477,2020-12-01,212000.0,360,4.865,620-659,91-95,37-43,CA,Refinance,Single Family,Investment,Sunrise Servicing,2020
LN100478,2022-05-01,196600.0,360,4.627,700-739,81-90,<=20,NY,Refinance,Condo,Primary,Highland Capital Servicing,2022
LN100479,2024-02-01,203900.0,360,5.567,740-779,71-80,37-43,CA,Refinance,Single Family,Primary,Apex Mortgage Co,2024
LN100480,2019-01-01,239200.0,180,4.524,660-699,91-95,37-43,AZ,Purchase,Single Family,Primary,Sunrise Servicing,2019
LN100481,2022-09-01,349500.0,360,5.592,620-659,81-90,37-43,WA,Purchase,Manufactured,Primary,Meridian Loan Services,2022
LN100482,2023-05-01,277000.0,360,5.83,620-659,81-90,<=20,CA,Cash-Out Refinance,Single Family,Investment,Meridian Loan Services,2023
LN100483,2023-11-01,375000.0,360,5.454,700-739,61-70,21-30,MI,Refinance,Single Family,Primary,Meridian Loan Services,2023
LN100484,2021-03-01,369500.0,180,4.134,700-739,<=60,31-36,IL,Refinance,Single Family,Primary,Apex Mortgage Co,2021
LN100485,2019-08-01,253700.0,360,3.8,780+,>95,21-30,NC,Cash-Out Refinance,Single Family,Second Home,Highland Capital Servicing,2019
LN100486,2020-05-01,273600.0,360,3.787,740-779,81-90,31-36,WA,Purchase,Single Family,Investment,Sunrise Servicing,2020
LN100487,2023-05-01,380400.0,180,4.874,740-779,71-80,<=20,OH,Purchase,Single Family,Primary,Sunrise Servicing,2023
LN100488,2023-07-01,140100.0,360,4.674,780+,81-90,21-30,CA,Refinance,Single Family,Primary,Highland Capital Servicing,2023
LN100489,2022-04-01,710800.0,360,3.753,700-739,<=60,37-43,CA,Purchase,Single Family,Primary,Apex Mortgage Co,2022
LN100490,2019-08-01,183400.0,360,4.227,700-739,91-95,21-30,NY,Refinance,Condo,Primary,Meridian Loan Services,2019
LN100491,2019-08-01,197200.0,360,3.04,780+,61-70,37-43,AZ,Cash-Out Refinance,Condo,Primary,Meridian Loan Services,2019
LN100492,2021-06-01,133900.0,360,4.517,660-699,81-90,<=20,OH,Refinance,Multi-Family,Second Home,Sunrise Servicing,2021
LN100493,2022-01-01,135700.0,360,3.451,740-779,71-80,37-43,FL,Purchase,Manufactured,Primary,Cornerstone Servicing,2022
LN100494,2019-03-01,358000.0,360,3.409,740-779,61-70,31-36,CA,Refinance,Condo,Primary,Cornerstone Servicing,2019
LN100495,2022-07-01,641500.0,360,4.853,620-659,<=60,44-50,WA,Purchase,Single Family,Primary,Apex Mortgage Co,2022
LN100496,2021-10-01,178900.0,360,4.357,700-739,81-90,44-50,FL,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2021
LN100497,2019-01-01,270000.0,360,4.082,660-699,61-70,31-36,NC,Purchase,Single Family,Primary,Meridian Loan Services,2019
LN100498,2019-06-01,255000.0,360,4.188,620-659,<=60,37-43,GA,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2019
LN100499,2021-05-01,362300.0,360,4.25,700-739,81-90,21-30,TX,Purchase,Single Family,Second Home,Cornerstone Servicing,2021
LN100500,2022-09-01,626800.0,360,4.917,660-699,71-80,37-43,CA,Purchase,Single Family,Primary,Sunrise Servicing,2022
LN100501,2023-04-01,457900.0,360,4.923,740-779,71-80,<=20,FL,Purchase,Single Family,Primary,Cornerstone Servicing,2023
LN100502,2021-03-01,207400.0,180,3.237,780+,61-70,31-36,FL,Purchase,Single Family,Primary,Meridian Loan Services,2021
LN100503,2020-07-01,293000.0,360,4.029,740-779,91-95,21-30,NC,Purchase,Condo,Primary,Meridian Loan Services,2020
LN100504,2024-01-01,306400.0,360,6.393,660-699,61-70,44-50,PA,Cash-Out Refinance,Single Family,Second Home,Cornerstone Servicing,2024
LN100505,2021-05-01,228900.0,360,4.269,660-699,61-70,31-36,TX,Cash-Out Refinance,Single Family,Primary,Cornerstone Servicing,2021
LN100506,2020-08-01,141000.0,360,4.439,660-699,71-80,37-43,IL,Purchase,Single Family,Primary,Cornerstone Servicing,2020
LN100507,2021-04-01,161200.0,360,4.293,620-659,61-70,31-36,CA,Refinance,Single Family,Primary,Meridian Loan Services,2021
LN100508,2019-01-01,387200.0,360,3.199,780+,71-80,21-30,TX,Cash-Out Refinance,Single Family,Primary,Apex Mortgage Co,2019
LN100509,2020-07-01,405600.0,360,4.059,700-739,<=60,21-30,PA,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2020
LN100510,2021-08-01,210400.0,180,4.179,660-699,61-70,44-50,PA,Purchase,Single Family,Investment,Sunrise Servicing,2021
LN100511,2023-09-01,259800.0,360,4.928,780+,71-80,44-50,PA,Purchase,Single Family,Primary,Meridian Loan Services,2023
LN100512,2022-10-01,395800.0,360,5.019,700-739,91-95,21-30,CA,Cash-Out Refinance,Single Family,Primary,Sunrise Servicing,2022
LN100513,2023-01-01,107300.0,360,5.318,<620,<=60,37-43,IL,Purchase,Manufactured,Primary,Sunrise Servicing,2023
LN100514,2021-10-01,188900.0,360,4.759,620-659,61-70,31-36,NY,Purchase,Condo,Primary,Apex Mortgage Co,2021
LN100515,2019-07-01,572700.0,180,3.576,740-779,91-95,<=20,AZ,Refinance,Single Family,Primary,Highland Capital Servicing,2019
LN100516,2021-01-01,264300.0,180,3.861,740-779,91-95,31-36,GA,Purchase,Single Family,Investment,Meridian Loan Services,2021
LN100517,2024-02-01,138900.0,180,6.094,660-699,81-90,21-30,WA,Cash-Out Refinance,Single Family,Primary,Apex Mortgage Co,2024
LN100518,2019-03-01,243500.0,360,3.567,780+,61-70,21-30,CA,Purchase,Condo,Second Home,Highland Capital Servicing,2019
LN100519,2023-07-01,365700.0,360,4.452,780+,71-80,37-43,NY,Refinance,Single Family,Primary,Cornerstone Servicing,2023
LN100520,2022-07-01,73400.0,360,3.849,780+,61-70,21-30,PA,Cash-Out Refinance,Condo,Primary,Apex Mortgage Co,2022
LN100521,2020-06-01,250000.0,360,4.381,660-699,61-70,44-50,FL,Cash-Out Refinance,Multi-Family,Investment,Meridian Loan Services,2020
LN100522,2023-01-01,195300.0,180,5.873,<620,71-80,37-43,GA,Cash-Out Refinance,Single Family,Primary,Highland Capital Servicing,2023
LN100523,2023-04-01,110300.0,360,4.702,780+,71-80,44-50,IL,Cash-Out Refinance,Single Family,Primary,Sunrise Servicing,2023
LN100524,2019-03-01,239600.0,360,4.152,660-699,71-80,37-43,AZ,Purchase,Single Family,Investment,Sunrise Servicing,2019
LN100525,2019-07-01,217200.0,360,4.247,700-739,81-90,44-50,TX,Cash-Out Refinance,Single Family,Investment,Meridian Loan Services,2019
LN100526,2022-06-01,228500.0,360,4.366,740-779,61-70,31-36,WA,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2022
LN100527,2024-02-01,197500.0,360,6.625,620-659,71-80,31-36,NY,Purchase,Condo,Primary,Sunrise Servicing,2024
LN100528,2019-02-01,145900.0,360,3.872,740-779,81-90,31-36,NY,Purchase,Single Family,Primary,Sunrise Servicing,2019
LN100529,2022-06-01,120000.0,180,4.071,780+,91-95,44-50,IL,Purchase,Single Family,Investment,Cornerstone Servicing,2022
LN100530,2019-09-01,169300.0,360,3.595,740-779,71-80,21-30,TX,Refinance,Single Family,Primary,Highland Capital Servicing,2019
LN100531,2022-05-01,340000.0,360,4.126,700-739,71-80,37-43,AZ,Refinance,Multi-Family,Primary,Highland Capital Servicing,2022
LN100532,2022-03-01,256500.0,360,3.468,780+,61-70,37-43,WA,Purchase,Single Family,Primary,Sunrise Servicing,2022
LN100533,2019-06-01,223900.0,180,3.825,700-739,<=60,31-36,AZ,Purchase,Single Family,Primary,Highland Capital Servicing,2019
LN100534,2022-07-01,144700.0,360,4.258,740-779,81-90,44-50,AZ,Refinance,Single Family,Primary,Meridian Loan Services,2022
LN100535,2023-08-01,195200.0,360,5.094,740-779,61-70,31-36,GA,Purchase,Single Family,Primary,Highland Capital Servicing,2023
LN100536,2023-06-01,321800.0,360,4.54,740-779,71-80,21-30,NY,Cash-Out Refinance,Multi-Family,Primary,Apex Mortgage Co,2023
LN100537,2019-02-01,289900.0,180,4.255,660-699,71-80,37-43,MI,Purchase,Manufactured,Primary,Meridian Loan Services,2019
LN100538,2020-04-01,186300.0,360,5.046,620-659,61-70,31-36,CA,Purchase,Condo,Primary,Meridian Loan Services,2020
LN100539,2020-03-01,71300.0,180,4.402,660-699,<=60,<=20,MI,Purchase,Condo,Primary,Sunrise Servicing,2020
LN100540,2021-05-01,170500.0,360,4.22,700-739,71-80,<=20,NY,Cash-Out Refinance,Single Family,Primary,Cornerstone Servicing,2021
LN100541,2019-09-01,185900.0,360,4.308,700-739,>95,21-30,GA,Cash-Out Refinance,Single Family,Primary,Apex Mortgage Co,2019
LN100542,2023-05-01,153600.0,360,5.105,700-739,81-90,37-43,FL,Purchase,Single Family,Primary,Highland Capital Servicing,2023
LN100543,2023-01-01,191800.0,360,4.491,700-739,71-80,44-50,FL,Purchase,Single Family,Primary,Cornerstone Servicing,2023
LN100544,2023-03-01,333500.0,360,4.634,740-779,<=60,31-36,CA,Purchase,Single Family,Primary,Sunrise Servicing,2023
LN100545,2020-01-01,227100.0,360,3.025,780+,81-90,21-30,NY,Purchase,Condo,Primary,Meridian Loan Services,2020
LN100546,2019-01-01,360500.0,180,4.044,660-699,<=60,31-36,NY,Refinance,Single Family,Primary,Sunrise Servicing,2019
LN100547,2023-09-01,117200.0,360,5.104,740-779,71-80,44-50,TX,Purchase,Single Family,Primary,Sunrise Servicing,2023
LN100548,2020-06-01,201300.0,360,3.821,740-779,81-90,37-43,TX,Purchase,Single Family,Primary,Cornerstone Servicing,2020
LN100549,2022-05-01,96500.0,360,4.852,700-739,71-80,21-30,OH,Purchase,Condo,Primary,Highland Capital Servicing,2022
LN100550,2023-09-01,190600.0,360,6.29,620-659,61-70,21-30,FL,Purchase,Condo,Primary,Apex Mortgage Co,2023
LN100551,2019-03-01,144300.0,180,3.68,740-779,<=60,44-50,MI,Purchase,Single Family,Primary,Meridian Loan Services,2019
LN100552,2019-01-01,411100.0,180,3.024,780+,<=60,44-50,CA,Purchase,Condo,Primary,Apex Mortgage Co,2019
LN100553,2019-01-01,277700.0,360,4.053,740-779,71-80,<=20,OH,Purchase,Condo,Primary,Apex Mortgage Co,2019
LN100554,2019-10-01,364600.0,360,3.7,780+,91-95,44-50,TX,Purchase,Single Family,Investment,Meridian Loan Services,2019
LN100555,2019-04-01,190400.0,360,3.069,780+,61-70,<=20,IL,Purchase,Condo,Primary,Sunrise Servicing,2019
LN100556,2023-03-01,146000.0,360,5.31,660-699,71-80,<=20,IL,Cash-Out Refinance,Single Family,Primary,Apex Mortgage Co,2023
LN100557,2022-02-01,143900.0,360,4.117,740-779,81-90,37-43,GA,Purchase,Single Family,Primary,Apex Mortgage Co,2022
LN100558,2024-01-01,260300.0,360,5.4,700-739,<=60,31-36,NY,Purchase,Single Family,Primary,Highland Capital Servicing,2024
LN100559,2023-02-01,521600.0,180,4.29,780+,61-70,31-36,IL,Purchase,Single Family,Primary,Meridian Loan Services,2023
LN100560,2023-12-01,278100.0,360,6.404,620-659,71-80,44-50,TX,Refinance,Single Family,Primary,Sunrise Servicing,2023
LN100561,2020-03-01,195100.0,360,3.923,700-739,81-90,44-50,NY,Cash-Out Refinance,Single Family,Primary,Cornerstone Servicing,2020
LN100562,2020-06-01,212200.0,360,3.476,780+,71-80,<=20,FL,Refinance,Single Family,Investment,Apex Mortgage Co,2020
LN100563,2023-05-01,227700.0,360,5.273,660-699,81-90,37-43,GA,Refinance,Single Family,Primary,Highland Capital Servicing,2023
LN100564,2020-04-01,574900.0,180,4.161,740-779,91-95,37-43,NY,Cash-Out Refinance,Single Family,Primary,Sunrise Servicing,2020
LN100565,2019-04-01,402400.0,360,3.835,700-739,81-90,31-36,PA,Purchase,Single Family,Primary,Sunrise Servicing,2019
LN100566,2022-06-01,259600.0,360,4.178,780+,>95,>50,NY,Cash-Out Refinance,Single Family,Investment,Sunrise Servicing,2022
LN100567,2023-02-01,242700.0,360,4.144,780+,81-90,37-43,TX,Refinance,Single Family,Primary,Highland Capital Servicing,2023
LN100568,2024-01-01,264300.0,360,5.913,660-699,91-95,21-30,TX,Purchase,Condo,Primary,Meridian Loan Services,2024
LN100569,2023-10-01,288500.0,360,5.112,740-779,91-95,21-30,CA,Purchase,Multi-Family,Primary,Highland Capital Servicing,2023
LN100570,2019-08-01,191800.0,360,4.301,660-699,81-90,44-50,IL,Purchase,Single Family,Primary,Cornerstone Servicing,2019
LN100571,2022-12-01,158000.0,360,4.944,700-739,81-90,>50,MI,Purchase,Condo,Primary,Highland Capital Servicing,2022
LN100572,2023-05-01,367500.0,360,5.031,740-779,91-95,<=20,PA,Cash-Out Refinance,Single Family,Primary,Cornerstone Servicing,2023
LN100573,2022-08-01,233300.0,360,3.902,740-779,71-80,21-30,NY,Purchase,Manufactured,Primary,Cornerstone Servicing,2022
LN100574,2023-03-01,354000.0,180,5.949,<620,81-90,37-43,TX,Refinance,Single Family,Primary,Highland Capital Servicing,2023
LN100575,2023-04-01,484500.0,360,5.215,660-699,71-80,<=20,MI,Cash-Out Refinance,Single Family,Primary,Cornerstone Servicing,2023
LN100576,2021-04-01,291900.0,180,4.072,740-779,91-95,<=20,CA,Purchase,Single Family,Primary,Highland Capital Servicing,2021
LN100577,2019-03-01,271400.0,360,3.88,700-739,71-80,44-50,FL,Purchase,Single Family,Primary,Meridian Loan Services,2019
LN100578,2021-05-01,900000.0,360,4.161,700-739,81-90,44-50,MI,Refinance,Single Family,Second Home,Sunrise Servicing,2021
LN100579,2020-01-01,253500.0,360,4.866,<620,81-90,44-50,FL,Cash-Out Refinance,Single Family,Investment,Meridian Loan Services,2020
LN100580,2019-08-01,141400.0,180,4.864,660-699,>95,37-43,CA,Purchase,Single Family,Primary,Apex Mortgage Co,2019
LN100581,2019-08-01,203500.0,180,3.042,780+,61-70,31-36,TX,Purchase,Condo,Primary,Meridian Loan Services,2019
LN100582,2022-08-01,464300.0,360,5.456,<620,81-90,44-50,OH,Refinance,Condo,Primary,Sunrise Servicing,2022
LN100583,2021-08-01,129000.0,180,4.127,700-739,81-90,21-30,CA,Cash-Out Refinance,Single Family,Investment,Apex Mortgage Co,2021
LN100584,2021-10-01,164600.0,360,3.546,780+,91-95,21-30,GA,Purchase,Condo,Primary,Apex Mortgage Co,2021
LN100585,2022-11-01,380000.0,180,5.74,<620,91-95,44-50,NY,Purchase,Single Family,Primary,Cornerstone Servicing,2022
LN100586,2021-10-01,204400.0,360,3.374,740-779,71-80,37-43,FL,Cash-Out Refinance,Manufactured,Primary,Cornerstone Servicing,2021
LN100587,2022-04-01,219800.0,360,4.477,660-699,71-80,44-50,TX,Purchase,Single Family,Primary,Highland Capital Servicing,2022
LN100588,2019-06-01,374400.0,360,3.091,780+,61-70,21-30,MI,Purchase,Condo,Second Home,Cornerstone Servicing,2019
LN100589,2023-05-01,167300.0,360,5.374,740-779,>95,>50,FL,Refinance,Multi-Family,Second Home,Meridian Loan Services,2023
LN100590,2021-04-01,119300.0,360,3.878,780+,61-70,37-43,NC,Purchase,Condo,Primary,Cornerstone Servicing,2021
LN100591,2019-10-01,123600.0,360,4.386,660-699,81-90,37-43,NY,Purchase,Condo,Primary,Cornerstone Servicing,2019
LN100592,2023-03-01,300100.0,360,4.802,700-739,81-90,44-50,CA,Refinance,Single Family,Investment,Sunrise Servicing,2023
LN100593,2022-10-01,259500.0,360,4.621,740-779,71-80,31-36,NY,Refinance,Condo,Primary,Highland Capital Servicing,2022
LN100594,2019-04-01,169100.0,180,3.961,660-699,61-70,37-43,IL,Purchase,Single Family,Primary,Apex Mortgage Co,2019
LN100595,2019-12-01,137100.0,360,4.158,660-699,61-70,37-43,NY,Purchase,Single Family,Primary,Meridian Loan Services,2019
LN100596,2019-01-01,204500.0,360,4.903,<620,91-95,44-50,PA,Refinance,Manufactured,Primary,Apex Mortgage Co,2019
LN100597,2020-05-01,381700.0,360,3.412,780+,71-80,44-50,WA,Refinance,Single Family,Primary,Cornerstone Servicing,2020
LN100598,2019-07-01,158600.0,180,3.434,740-779,<=60,37-43,PA,Cash-Out Refinance,Single Family,Primary,Cornerstone Servicing,2019
LN100599,2022-08-01,171400.0,180,4.074,740-779,81-90,<=20,OH,Refinance,Multi-Family,Investment,Meridian Loan Services,2022
LN100600,2021-09-01,135200.0,180,3.526,740-779,61-70,21-30,IL,Refinance,Single Family,Second Home,Apex Mortgage Co,2021
LN100601,2024-01-01,195800.0,360,6.043,700-739,91-95,>50,GA,Cash-Out Refinance,Single Family,Primary,Apex Mortgage Co,2024
LN100602,2022-11-01,268900.0,360,4.826,700-739,71-80,>50,TX,Cash-Out Refinance,Single Family,Primary,Highland Capital Servicing,2022
LN100603,2022-02-01,598300.0,360,4.09,700-739,61-70,>50,PA,Purchase,Condo,Primary,Apex Mortgage Co,2022
LN100604,2021-08-01,254700.0,360,3.119,740-779,<=60,<=20,MI,Cash-Out Refinance,Condo,Primary,Meridian Loan Services,2021
LN100605,2019-04-01,225400.0,180,4.427,660-699,71-80,31-36,TX,Cash-Out Refinance,Single Family,Primary,Cornerstone Servicing,2019
LN100606,2019-05-01,340600.0,360,3.199,780+,71-80,37-43,WA,Purchase,Single Family,Investment,Meridian Loan Services,2019
LN100607,2022-03-01,315900.0,360,4.208,740-779,81-90,37-43,MI,Purchase,Single Family,Primary,Meridian Loan Services,2022
LN100608,2019-01-01,178100.0,360,4.3,660-699,71-80,<=20,NY,Refinance,Single Family,Primary,Meridian Loan Services,2019
LN100609,2019-03-01,650800.0,360,3.821,700-739,71-80,37-43,WA,Purchase,Single Family,Second Home,Meridian Loan Services,2019
LN100610,2020-02-01,228400.0,360,4.235,620-659,61-70,21-30,CA,Refinance,Manufactured,Investment,Apex Mortgage Co,2020
LN100611,2023-07-01,256900.0,180,5.008,780+,61-70,31-36,CA,Purchase,Single Family,Primary,Highland Capital Servicing,2023
LN100612,2021-05-01,296000.0,360,3.818,780+,91-95,21-30,FL,Purchase,Single Family,Primary,Sunrise Servicing,2021
LN100613,2022-08-01,269900.0,360,4.049,780+,61-70,<=20,IL,Purchase,Single Family,Primary,Cornerstone Servicing,2022
LN100614,2021-02-01,458800.0,360,5.067,660-699,>95,<=20,FL,Cash-Out Refinance,Single Family,Primary,Meridian Loan Services,2021
